
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ff_-40c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ff_-40c_2.97v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:09  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	1.7817618551e+03	
1	1.5000000000e+00	1.7273679204e+03	
2	2.5000000000e+00	1.7029133021e+03	
3	3.5000000000e+00	1.6485078113e+03	
4	4.5000000000e+00	1.6539979202e+03	
5	5.5000000000e+00	1.5995924395e+03	
6	6.5000000000e+00	1.5751321384e+03	
7	7.5000000000e+00	1.5207150645e+03	
8	8.5000000000e+00	1.5559424601e+03	
9	9.5000000000e+00	1.5015375529e+03	
10	1.0500000000e+01	1.4770771210e+03	
11	1.1500000000e+01	1.4226605520e+03	
12	1.2500000000e+01	1.4281499268e+03	
13	1.3500000000e+01	1.3737334040e+03	
14	1.4500000000e+01	1.3492672494e+03	
15	1.5500000000e+01	1.2948390254e+03	
16	1.6500000000e+01	1.3598378073e+03	
17	1.7500000000e+01	1.3054345062e+03	
18	1.8500000000e+01	1.2809740083e+03	
19	1.9500000000e+01	1.2265589200e+03	
20	2.0500000000e+01	1.2320465003e+03	
21	2.1500000000e+01	1.1776314723e+03	
22	2.2500000000e+01	1.1531651777e+03	
23	2.3500000000e+01	1.0987383157e+03	
24	2.4500000000e+01	1.1339664466e+03	
25	2.5500000000e+01	1.0795521101e+03	
26	2.6500000000e+01	1.0550857238e+03	
27	2.7500000000e+01	1.0006594865e+03	
28	2.8500000000e+01	1.0061462409e+03	
29	2.9500000000e+01	9.5172008182e+02	
30	3.0500000000e+01	9.2724785595e+02	
31	3.1500000000e+01	8.7280975200e+02	
m_r_code0_ohm = 1.7817618551e+03
m_r_code31_ohm = 8.7280975200e+02
m_r_best_ohm = 1.5015375529e+03
m_best_code = 9.0000000000e+00
m_best_err_pct = 1.0250352937e-01
m_trim_step_pct = 3.3593845068e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

