
Note: Compatibility modes selected: hs a


Circuit: * dplus-pullup-tolerance @ ss_-40c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 32
* dplus-pullup-tolerance @ ss_-40c_3.30v -- generated by sim/harness, do not edit
DC transfer characteristic  Mon Aug 17 13:36:10  2026
--------------------------------------------------------------------------------
Index   v-sweep         rvec            
--------------------------------------------------------------------------------
0	5.0000000000e-01	2.5712826029e+03	
1	1.5000000000e+00	2.5053988208e+03	
2	2.5000000000e+00	2.4687163205e+03	
3	3.5000000000e+00	2.4028133117e+03	
4	4.5000000000e+00	2.3953391448e+03	
5	5.5000000000e+00	2.3294367585e+03	
6	6.5000000000e+00	2.2927420614e+03	
7	7.5000000000e+00	2.2268203928e+03	
8	8.5000000000e+00	2.2482628533e+03	
9	9.5000000000e+00	2.1823627595e+03	
10	1.0500000000e+01	2.1456677461e+03	
11	1.1500000000e+01	2.0797482464e+03	
12	1.2500000000e+01	2.0722650280e+03	
13	1.3500000000e+01	2.0063463265e+03	
14	1.4500000000e+01	1.9696390167e+03	
15	1.5500000000e+01	1.9037008603e+03	
16	1.6500000000e+01	1.9541468989e+03	
17	1.7500000000e+01	1.8882522354e+03	
18	1.8500000000e+01	1.8515569161e+03	
19	1.9500000000e+01	1.7856425113e+03	
20	2.0500000000e+01	1.7781530791e+03	
21	2.1500000000e+01	1.7122395569e+03	
22	2.2500000000e+01	1.6755317299e+03	
23	2.3500000000e+01	1.6095984421e+03	
24	2.4500000000e+01	1.6310229955e+03	
25	2.5500000000e+01	1.5651123031e+03	
26	2.6500000000e+01	1.5284043340e+03	
27	2.7500000000e+01	1.4624737098e+03	
28	2.8500000000e+01	1.4549746606e+03	
29	2.9500000000e+01	1.3890450939e+03	
30	3.0500000000e+01	1.3523245072e+03	
31	3.1500000000e+01	1.2863749386e+03	
m_r_code0_ohm = 2.5712826029e+03
m_r_code31_ohm = 1.2863749386e+03
m_r_best_ohm = 1.5284043340e+03
m_best_code = 2.6000000000e+01
m_best_err_pct = 1.8936222671e+00
m_trim_step_pct = 3.2221270088e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

